Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,Recession
6/30/2010,0.17,,0.18,0.22,0.32,0.61,1,1.79,2.42,2.97,3.74,3.91,0
5/31/2010,0.15,,0.16,0.22,0.34,0.76,1.26,2.1,2.75,3.31,4.05,4.22,0
4/30/2010,0.14,,0.16,0.25,0.41,0.97,1.51,2.43,3.12,3.69,4.36,4.53,0
3/31/2010,0.15,,0.16,0.24,0.41,1.02,1.6,2.55,3.28,3.84,4.55,4.72,0
2/28/2010,0.09,,0.13,0.19,0.32,0.81,1.36,2.3,3.05,3.61,4.4,4.55,0
1/31/2010,0.02,,0.08,0.15,0.3,0.82,1.38,2.34,3.08,3.63,4.38,4.51,0
12/31/2009,0.04,,0.06,0.2,0.47,1.14,1.7,2.69,3.39,3.85,4.58,4.63,0
11/30/2009,0.08,,0.06,0.15,0.27,0.67,1.12,2.01,2.69,3.21,4.07,4.2,0
10/31/2009,0.01,,0.05,0.16,0.37,0.9,1.43,2.31,2.98,3.41,4.19,4.23,0
9/30/2009,0.06,,0.14,0.18,0.4,0.95,1.45,2.31,2.93,3.31,4.02,4.03,0
8/31/2009,0.11,,0.15,0.24,0.43,0.97,1.49,2.39,3.03,3.4,4.14,4.18,0
7/31/2009,0.14,,0.18,0.26,0.48,1.13,1.62,2.53,3.14,3.52,4.29,4.31,0
6/30/2009,0.17,,0.19,0.35,0.56,1.11,1.64,2.54,3.19,3.53,4.3,4.32,1
5/31/2009,0.14,,0.14,0.3,0.47,0.92,1.42,2.34,3.06,3.47,4.34,4.34,1
4/30/2009,0.04,,0.14,0.29,0.49,0.91,1.38,2.02,2.7,3.16,4.1,4.05,1
3/31/2009,0.17,,0.21,0.43,0.57,0.81,1.15,1.67,2.28,2.71,3.61,3.56,1
2/28/2009,0.16,,0.26,0.45,0.72,1,1.4,1.99,2.69,3.02,3.98,3.71,1
1/31/2009,0.15,,0.24,0.36,0.51,0.94,1.32,1.85,2.27,2.87,3.86,3.58,1
12/31/2008,0.11,,0.11,0.27,0.37,0.76,1,1.55,1.87,2.25,3.05,2.69,1
11/30/2008,0.02,,0.01,0.44,0.9,1,1.27,1.93,2.35,2.93,3.71,3.45,1
10/31/2008,0.12,,0.46,0.94,1.34,1.56,1.8,2.8,3.29,4.01,4.74,4.35,1
9/30/2008,1.02,,0.92,1.6,1.78,2,2.28,2.98,3.38,3.85,4.43,4.31,1
8/31/2008,1.63,,1.72,1.97,2.17,2.36,2.6,3.1,3.45,3.83,4.47,4.43,1
7/31/2008,1.55,,1.68,1.89,2.27,2.52,2.81,3.25,3.56,3.99,4.63,4.59,1
6/30/2008,1.6,,1.9,2.17,2.36,2.63,2.91,3.34,3.61,3.99,4.59,4.53,1
5/31/2008,1.98,,1.89,2.01,2.22,2.66,2.93,3.41,3.68,4.06,4.74,4.72,1
4/30/2008,1.17,,1.43,1.64,1.85,2.29,2.49,3.03,3.34,3.77,4.49,4.49,1
3/31/2008,1.22,,1.38,1.51,1.55,1.62,1.79,2.46,2.88,3.45,4.3,4.3,1
2/29/2008,2.07,,1.85,1.83,1.77,1.65,1.87,2.5,2.96,3.53,4.37,4.41,1
1/31/2008,1.64,,1.96,2.07,2.11,2.17,2.27,2.82,3.19,3.67,4.35,4.35,1
12/31/2007,2.76,,3.36,3.49,3.34,3.05,3.07,3.45,3.7,4.04,4.5,4.45,1
11/30/2007,3.63,,3.15,3.37,3.26,3.04,3.09,3.41,3.64,3.97,4.44,4.4,0
10/31/2007,4.01,,3.94,4.09,4.04,3.94,3.94,4.16,4.29,4.48,4.79,4.74,0
9/30/2007,3.43,,3.82,4.09,4.05,3.97,4.03,4.23,4.38,4.59,4.89,4.83,0
8/31/2007,4.02,,4.01,4.21,4.19,4.15,4.16,4.25,4.36,4.54,4.87,4.83,0
7/31/2007,5.13,,4.96,4.99,4.85,4.56,4.55,4.6,4.67,4.78,5,4.92,0
6/30/2007,4.28,,4.82,4.93,4.91,4.87,4.89,4.92,4.96,5.03,5.21,5.12,0
5/31/2007,4.78,,4.73,4.96,4.95,4.92,4.88,4.86,4.87,4.9,5.1,5.01,0
4/30/2007,4.8,,4.91,5.03,4.89,4.6,4.54,4.51,4.55,4.63,4.88,4.81,0
3/31/2007,5.07,,5.04,5.06,4.9,4.58,4.54,4.54,4.58,4.65,4.92,4.84,0
2/28/2007,5.24,,5.16,5.12,4.96,4.65,4.55,4.52,4.53,4.56,4.78,4.68,0
1/31/2007,5,,5.12,5.16,5.09,4.94,4.85,4.82,4.82,4.83,5.02,4.93,0
12/31/2006,4.75,,5.02,5.09,5,4.82,4.74,4.7,4.7,4.71,4.91,4.81,0
11/30/2006,5.22,,5.03,5.1,4.94,4.62,4.52,4.45,4.45,4.46,4.66,4.56,0
10/31/2006,5.18,,5.08,5.13,4.99,4.71,4.62,4.57,4.57,4.61,4.81,4.72,0
9/30/2006,4.6,,4.89,5.02,4.91,4.71,4.62,4.59,4.6,4.64,4.84,4.77,0
8/31/2006,5.12,,5.05,5.11,5.01,4.79,4.71,4.7,4.7,4.74,4.95,4.88,0
7/31/2006,5.02,,5.1,5.18,5.11,4.97,4.93,4.91,4.93,4.99,5.17,5.07,0
6/30/2006,4.54,,5.01,5.24,5.21,5.16,5.13,5.1,5.11,5.15,5.31,5.19,0
5/31/2006,4.75,,4.86,5.08,5.07,5.04,5.03,5.04,5.06,5.12,5.35,5.21,0
4/30/2006,4.6,,4.77,4.91,4.9,4.87,4.87,4.92,4.98,5.07,5.31,5.17,0
3/31/2006,4.65,,4.63,4.81,4.82,4.82,4.83,4.82,4.83,4.86,5.07,4.9,0
2/28/2006,4.47,,4.62,4.74,4.73,4.69,4.67,4.61,4.57,4.55,4.7,4.51,0
1/31/2006,4.37,,4.47,4.59,4.58,4.54,4.49,4.47,4.49,4.53,4.74,,0
12/31/2005,4.01,,4.08,4.37,4.38,4.41,4.37,4.35,4.36,4.39,4.61,,0
11/30/2005,4,,3.95,4.31,4.34,4.42,4.41,4.42,4.45,4.49,4.81,,0
10/31/2005,3.77,,3.98,4.26,4.31,4.4,4.41,4.45,4.49,4.57,4.84,,0
9/30/2005,3.15,,3.55,3.93,4.01,4.18,4.18,4.18,4.23,4.34,4.62,,0
8/31/2005,3.41,,3.52,3.74,3.77,3.84,3.83,3.87,3.93,4.02,4.3,,0
7/31/2005,3.25,,3.42,3.69,3.8,4.02,4.06,4.12,4.19,4.28,4.56,,0
6/30/2005,2.99,,3.13,3.34,3.45,3.66,3.67,3.72,3.8,3.94,4.28,,0
5/31/2005,2.8,,2.99,3.18,3.32,3.6,3.65,3.76,3.86,4,4.4,,0
4/30/2005,2.7,,2.9,3.17,3.33,3.66,3.73,3.9,4.03,4.21,4.61,,0
3/31/2005,2.63,,2.79,3.13,3.35,3.8,3.96,4.18,4.33,4.5,4.88,,0
2/28/2005,2.51,,2.76,3.01,3.2,3.59,3.75,4,4.18,4.36,4.79,,0
1/31/2005,2.06,,2.51,2.79,2.96,3.29,3.43,3.71,3.92,4.14,4.64,,0
12/31/2004,1.89,,2.22,2.59,2.75,3.08,3.25,3.63,3.94,4.24,4.85,,0
11/30/2004,2.07,,2.23,2.44,2.63,3.02,3.29,3.72,4.07,4.36,5.03,,0
10/31/2004,1.73,,1.91,2.13,2.28,2.56,2.82,3.3,3.7,4.05,4.79,,0
9/30/2004,1.47,,1.71,2,2.21,2.63,2.89,3.38,3.79,4.14,4.89,,0
8/31/2004,1.45,,1.59,1.79,1.99,2.41,2.75,3.33,3.76,4.13,4.93,,0
7/31/2004,1.27,,1.45,1.77,2.13,2.68,3.09,3.71,4.13,4.5,5.24,,0
6/30/2004,1.17,,1.33,1.68,2.09,2.7,3.16,3.81,4.24,4.62,5.33,,0
5/31/2004,0.94,,1.08,1.39,1.83,2.54,3.1,3.81,4.26,4.66,5.39,,0
4/30/2004,0.83,,0.98,1.17,1.55,2.31,2.86,3.63,4.11,4.53,5.31,,0
3/31/2004,0.96,,0.95,1.01,1.2,1.6,1.99,2.8,3.33,3.86,4.77,,0
2/29/2004,0.95,,0.96,1.01,1.21,1.66,2.13,3.01,3.48,3.99,4.85,,0
1/31/2004,0.85,,0.92,1.01,1.28,1.84,2.35,3.17,3.68,4.16,5,,0
12/31/2003,0.9,,0.95,1.02,1.26,1.84,2.37,3.25,3.77,4.27,5.1,,0
11/30/2003,0.96,,0.93,1.04,1.39,2.06,2.56,3.38,3.89,4.34,5.2,,0
10/31/2003,0.96,,0.96,1.04,1.31,1.85,2.36,3.27,3.8,4.33,5.2,,0
9/30/2003,0.87,,0.95,1.01,1.15,1.5,1.95,2.85,3.41,3.96,4.91,,0
8/31/2003,0.98,,0.98,1.06,1.35,1.95,2.51,3.46,4,4.45,5.33,,0
7/31/2003,0.91,,0.96,1.02,1.28,1.8,2.33,3.38,3.98,4.49,5.43,,0
6/30/2003,0.81,,0.9,0.98,1.09,1.32,1.66,2.46,3.03,3.54,4.52,,0
5/31/2003,1.16,,1.11,1.09,1.13,1.33,1.58,2.3,2.87,3.37,4.36,,0
4/30/2003,1.13,,1.13,1.15,1.22,1.51,1.95,2.85,3.39,3.89,4.79,,0
3/31/2003,1.16,,1.14,1.13,1.19,1.51,1.93,2.78,3.35,3.83,4.84,,0
2/28/2003,1.21,,1.2,1.19,1.24,1.53,1.91,2.69,3.24,3.71,4.7,,0
1/31/2003,1.17,,1.18,1.19,1.31,1.72,2.16,3.02,3.55,4,4.93,,0
12/31/2002,1.2,,1.22,1.23,1.32,1.61,1.99,2.78,3.36,3.83,4.83,,0
11/30/2002,1.25,,1.22,1.3,1.56,2.08,2.51,3.28,3.88,4.22,5.18,,0
10/31/2002,1.48,,1.44,1.43,1.46,1.68,2.05,2.81,3.45,3.93,5.03,,0
9/30/2002,1.6,,1.57,1.51,1.53,1.72,2.02,2.63,3.25,3.63,4.75,,0
8/31/2002,1.7,,1.69,1.67,1.74,2.14,2.5,3.22,3.78,4.14,5.06,,0
7/31/2002,1.73,,1.71,1.7,1.8,2.23,2.67,3.53,4.09,4.51,5.41,,0
6/30/2002,1.69,,1.7,1.75,2.06,2.9,3.37,4.09,4.52,4.86,5.65,,0
5/31/2002,1.72,,1.74,1.91,2.34,3.22,3.73,4.37,4.77,5.08,5.77,,0
4/30/2002,1.77,,1.77,1.91,2.35,3.24,3.83,4.53,4.88,5.11,5.74,,0
3/31/2002,1.76,,1.79,2.12,2.7,3.72,4.31,4.91,5.29,5.42,6.03,,0
2/28/2002,1.76,,1.79,1.87,2.25,3.06,3.64,4.27,4.7,4.88,5.61,5.37,0
1/31/2002,1.69,,1.76,1.89,2.29,3.16,3.7,4.42,4.82,5.07,5.68,5.44,0
12/31/2001,1.68,,1.74,1.83,2.17,3.07,3.59,4.38,4.84,5.07,5.74,5.48,0
11/30/2001,1.87,,1.78,1.79,2.06,2.84,3.3,4.08,4.55,4.78,5.54,5.27,1
10/31/2001,2.15,,2.05,1.95,2.07,2.44,2.87,3.66,4.03,4.3,5.05,4.89,1
9/30/2001,2.28,,2.4,2.36,2.49,2.86,3.22,3.93,4.37,4.6,5.45,5.42,1
8/31/2001,3.4,,3.37,3.31,3.41,3.64,3.91,4.46,4.72,4.85,5.47,5.39,1
7/31/2001,3.67,,3.54,3.47,3.53,3.79,4.06,4.57,4.86,5.07,5.61,5.51,1
